n               h               x               v              v^              S*           v_fin               u             err           mul_s           div_s               
229            0.01            2.29             inf             inf       -nan(ind)             inf               0               0               0               0
230            0.01             2.3             inf             inf       -nan(ind)             inf               0               0               0               0
231            0.01            2.31             inf             inf       -nan(ind)             inf               0               0               0               0
232            0.01            2.32             inf             inf       -nan(ind)             inf               0               0               0               0
233            0.01            2.33             inf             inf       -nan(ind)             inf               0               0               0               0
234            0.01            2.34             inf             inf       -nan(ind)             inf               0               0               0               0
235            0.01            2.35             inf             inf       -nan(ind)             inf               0               0               0               0
236            0.01            2.36             inf             inf       -nan(ind)             inf               0               0               0               0
237            0.01            2.37             inf             inf       -nan(ind)             inf               0               0               0               0
238            0.01            2.38             inf             inf       -nan(ind)             inf               0               0               0               0
239            0.01            2.39             inf             inf       -nan(ind)             inf               0               0               0               0
240            0.01             2.4             inf             inf       -nan(ind)             inf               0               0               0               0
241            0.01            2.41             inf             inf       -nan(ind)             inf               0               0               0               0
242            0.01            2.42             inf             inf       -nan(ind)             inf               0               0               0               0
243            0.01            2.43             inf             inf       -nan(ind)             inf               0               0               0               0
244            0.01            2.44             inf             inf       -nan(ind)             inf               0               0               0               0
245            0.01            2.45             inf             inf       -nan(ind)             inf               0               0               0               0
246            0.01            2.46             inf             inf       -nan(ind)             inf               0               0               0               0
247            0.01            2.47             inf             inf       -nan(ind)             inf               0               0               0               0
248            0.01            2.48             inf             inf       -nan(ind)             inf               0               0               0               0
249            0.01            2.49             inf             inf       -nan(ind)             inf               0               0               0               0
250            0.01             2.5             inf             inf       -nan(ind)             inf               0               0               0               0
251            0.01            2.51             inf             inf       -nan(ind)             inf               0               0               0               0
252            0.01            2.52             inf             inf       -nan(ind)             inf               0               0               0               0
253            0.01            2.53             inf             inf       -nan(ind)             inf               0               0               0               0
254            0.01            2.54             inf             inf       -nan(ind)             inf               0               0               0               0
255            0.01            2.55             inf             inf       -nan(ind)             inf               0               0               0               0
256            0.01            2.56             inf             inf       -nan(ind)             inf               0               0               0               0
257            0.01            2.57             inf             inf       -nan(ind)             inf               0               0               0               0
258            0.01            2.58             inf             inf       -nan(ind)             inf               0               0               0               0
259            0.01            2.59             inf             inf       -nan(ind)             inf               0               0               0               0
260            0.01             2.6             inf             inf       -nan(ind)             inf               0               0               0               0
261            0.01            2.61             inf             inf       -nan(ind)             inf               0               0               0               0
262            0.01            2.62             inf             inf       -nan(ind)             inf               0               0               0               0
263            0.01            2.63             inf             inf       -nan(ind)             inf               0               0               0               0
264            0.01            2.64             inf             inf       -nan(ind)             inf               0               0               0               0
265            0.01            2.65             inf             inf       -nan(ind)             inf               0               0               0               0
266            0.01            2.66             inf             inf       -nan(ind)             inf               0               0               0               0
267            0.01            2.67             inf             inf       -nan(ind)             inf               0               0               0               0
268            0.01            2.68             inf             inf       -nan(ind)             inf               0               0               0               0
269            0.01            2.69             inf             inf       -nan(ind)             inf               0               0               0               0
270            0.01             2.7             inf             inf       -nan(ind)             inf               0               0               0               0
271            0.01            2.71             inf             inf       -nan(ind)             inf               0               0               0               0
272            0.01            2.72             inf             inf       -nan(ind)             inf               0               0               0               0
273            0.01            2.73             inf             inf       -nan(ind)             inf               0               0               0               0
274            0.01            2.74             inf             inf       -nan(ind)             inf               0               0               0               0
275            0.01            2.75             inf             inf       -nan(ind)             inf               0               0               0               0
276            0.01            2.76             inf             inf       -nan(ind)             inf               0               0               0               0
277            0.01            2.77             inf             inf       -nan(ind)             inf               0               0               0               0
278            0.01            2.78             inf             inf       -nan(ind)             inf               0               0               0               0
279            0.01            2.79             inf             inf       -nan(ind)             inf               0               0               0               0
280            0.01             2.8             inf             inf       -nan(ind)             inf               0               0               0               0
281            0.01            2.81             inf             inf       -nan(ind)             inf               0               0               0               0
282            0.01            2.82             inf             inf       -nan(ind)             inf               0               0               0               0
283            0.01            2.83             inf             inf       -nan(ind)             inf               0               0               0               0
284            0.01            2.84             inf             inf       -nan(ind)             inf               0               0               0               0
285            0.01            2.85             inf             inf       -nan(ind)             inf               0               0               0               0
286            0.01            2.86             inf             inf       -nan(ind)             inf               0               0               0               0
287            0.01            2.87             inf             inf       -nan(ind)             inf               0               0               0               0
288            0.01            2.88             inf             inf       -nan(ind)             inf               0               0               0               0
289            0.01            2.89             inf             inf       -nan(ind)             inf               0               0               0               0
290            0.01             2.9             inf             inf       -nan(ind)             inf               0               0               0               0
291            0.01            2.91             inf             inf       -nan(ind)             inf               0               0               0               0
292            0.01            2.92             inf             inf       -nan(ind)             inf               0               0               0               0
293            0.01            2.93             inf             inf       -nan(ind)             inf               0               0               0               0
294            0.01            2.94             inf             inf       -nan(ind)             inf               0               0               0               0
295            0.01            2.95             inf             inf       -nan(ind)             inf               0               0               0               0
296            0.01            2.96             inf             inf       -nan(ind)             inf               0               0               0               0
297            0.01            2.97             inf             inf       -nan(ind)             inf               0               0               0               0
298            0.01            2.98             inf             inf       -nan(ind)             inf               0               0               0               0
299            0.01            2.99             inf             inf       -nan(ind)             inf               0               0               0               0
300            0.01               3             inf             inf       -nan(ind)             inf               0               0               0               0
301            0.01            3.01             inf             inf       -nan(ind)             inf               0               0               0               0
302            0.01            3.02             inf             inf       -nan(ind)             inf               0               0               0               0
303            0.01            3.03             inf             inf       -nan(ind)             inf               0               0               0               0
304            0.01            3.04             inf             inf       -nan(ind)             inf               0               0               0               0
305            0.01            3.05             inf             inf       -nan(ind)             inf               0               0               0               0
306            0.01            3.06             inf             inf       -nan(ind)             inf               0               0               0               0
307            0.01            3.07             inf             inf       -nan(ind)             inf               0               0               0               0
308            0.01            3.08             inf             inf       -nan(ind)             inf               0               0               0               0
309            0.01            3.09             inf             inf       -nan(ind)             inf               0               0               0               0
310            0.01             3.1             inf             inf       -nan(ind)             inf               0               0               0               0
311            0.01            3.11             inf             inf       -nan(ind)             inf               0               0               0               0
312            0.01            3.12             inf             inf       -nan(ind)             inf               0               0               0               0
313            0.01            3.13             inf             inf       -nan(ind)             inf               0               0               0               0
314            0.01            3.14             inf             inf       -nan(ind)             inf               0               0               0               0
315            0.01            3.15             inf             inf       -nan(ind)             inf               0               0               0               0
316            0.01            3.16             inf             inf       -nan(ind)             inf               0               0               0               0
317            0.01            3.17             inf             inf       -nan(ind)             inf               0               0               0               0
318            0.01            3.18             inf             inf       -nan(ind)             inf               0               0               0               0
319            0.01            3.19             inf             inf       -nan(ind)             inf               0               0               0               0
320            0.01             3.2             inf             inf       -nan(ind)             inf               0               0               0               0
321            0.01            3.21             inf             inf       -nan(ind)             inf               0               0               0               0
322            0.01            3.22             inf             inf       -nan(ind)             inf               0               0               0               0
323            0.01            3.23             inf             inf       -nan(ind)             inf               0               0               0               0
324            0.01            3.24             inf             inf       -nan(ind)             inf               0               0               0               0
325            0.01            3.25             inf             inf       -nan(ind)             inf               0               0               0               0
326            0.01            3.26             inf             inf       -nan(ind)             inf               0               0               0               0
327            0.01            3.27             inf             inf       -nan(ind)             inf               0               0               0               0
328            0.01            3.28             inf             inf       -nan(ind)             inf               0               0               0               0
329            0.01            3.29             inf             inf       -nan(ind)             inf               0               0               0               0
330            0.01             3.3             inf             inf       -nan(ind)             inf               0               0               0               0
331            0.01            3.31             inf             inf       -nan(ind)             inf               0               0               0               0
332            0.01            3.32             inf             inf       -nan(ind)             inf               0               0               0               0
333            0.01            3.33             inf             inf       -nan(ind)             inf               0               0               0               0
334            0.01            3.34             inf             inf       -nan(ind)             inf               0               0               0               0
