------------ REFERNCE ---------------

-9.256e+61	-9.256e+61
-9.256e+61	-9.256e+61
-9.256e+61	14757395258967641292
-9.256e+61	-9.256e+61
1001
14.76
55.24	-9.256e+61
0	0
0	0
1.7977e+308	0
1	2
0	0
1.7977e+308	0

------------ END_REFERNCE ---------------

n            h            x            v            y           v^           y^           S*        mul_s        div_s            
316         0.08        24.92       200.04       14.634       200.04       14.634   2.4657e-05            0            0
317         0.08           25       201.21       14.675       201.21       14.675   2.5005e-05            0            0
318         0.08        25.08       202.38       14.717       202.38       14.717   2.5362e-05            0            0
319         0.08        25.16       203.56       14.758       203.56       14.758   2.5728e-05            0            0
320         0.08        25.24       204.75         14.8       204.75         14.8   2.6102e-05            0            0
321         0.08        25.32       205.93       14.841       205.93       14.841   2.6486e-05            0            0
322         0.08         25.4       207.12       14.882       207.12       14.882   2.6879e-05            0            0
323         0.08        25.48       208.31       14.924       208.31       14.924   2.7282e-05            0            0
324         0.08        25.56       209.51       14.965       209.51       14.965   2.7696e-05            0            0
325         0.08        25.64       210.71       15.006       210.71       15.007   2.8121e-05            0            0
326         0.08        25.72       211.91       15.048       211.91       15.048   2.8557e-05            0            0
327         0.08         25.8       213.11       15.089       213.11       15.089   2.9005e-05            0            0
328         0.08        25.88       214.32       15.131       214.32       15.131   2.9465e-05            0            0
329         0.08        25.96       215.53       15.172       215.53       15.172   2.9938e-05            0            0
330         0.08        26.04       216.75       15.213       216.75       15.213   3.0424e-05            0            0
331         0.08        26.12       217.97       15.255       217.97       15.255   3.0924e-05            0            0
332         0.08         26.2       219.19       15.296       219.19       15.296   3.1438e-05            0            0
333         0.08        26.28       220.42       15.337       220.42       15.337   3.1968e-05            0            0
334         0.08        26.36       221.64       15.379       221.64       15.379   3.2514e-05            0            0
